ENST00000434913 	ENST00000449131 	239 	4148 	239 	4148 	52 	53 
ENST00000354473 	ENST00000471090 ENST00000436699 ENST00000379121 	726 	25 568 568 	743 	47 590 590 	34 	31 31 31 
ENST00000379982 	ENST00000424522 ENST00000203166 ENST00000428854 	4378 	3191 3012 3116 	4378 	3210 3031 3135 	52 	31 31 31 
ENST00000393811 ENST00000347140 ENST00000402412 ENST00000358907 	ENST00000178638 ENST00000344366 ENST00000422263 ENST00000565693 	3130 3685 3727 3329 	3041 2682 2513 164 	3130 3685 3727 3329 	3044 2685 2516 167 	34 34 34 34 	39 39 39 39 
ENST00000432629 ENST00000393148 	ENST00000492999 ENST00000486695 ENST00000467671 	204 230 	282 282 282 	204 230 	282 282 282 	53 53 	53 53 53 
ENST00000353047 ENST00000434271 	ENST00000366272 	3628 3612 	499 	3628 3612 	514 	36 36 	38 
ENST00000451311 ENST00000380636 ENST00000380635 ENST00000380633 ENST00000507623 ENST00000380638 	ENST00000419932 	194 1269 333 207 192 192 	234 	194 1269 333 207 192 192 	234 	53 53 53 53 53 53 	52 
ENST00000266659 	ENST00000490804 	3646 	131 	3646 	132 	52 	33 
ENST00000353047 ENST00000420692 ENST00000453527 ENST00000531551 ENST00000345125 ENST00000533455 ENST00000534510 ENST00000434271 ENST00000415599 	ENST00000604922 	1808 1659 1740 1588 1777 1773 1768 1792 1507 	296 	1808 1659 1740 1588 1777 1773 1768 1792 1507 	296 	53 53 53 53 53 53 53 53 53 	52 
ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000456923 ENST00000460217 ENST00000438981 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	ENST00000402802 	5645 6189 5916 5646 6293 7060 5916 5651 5918 5646 1801 43 7 5916 5916 5916 5916 	1584 	5645 6189 5916 5646 6293 7060 5916 5651 5918 5646 1801 43 7 5916 5916 5916 5916 	1589 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	32 
ENST00000545625 ENST00000537446 	ENST00000412425 	266 286 	13 	266 286 	13 	53 53 	52 
ENST00000507623 ENST00000380638 	ENST00000463943 	187 187 	398 	187 187 	398 	53 53 	53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	159 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	159 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	50 
ENST00000420575 ENST00000520566 	ENST00000438370 	51 70 	3 	51 70 	3 	53 53 	52 
ENST00000359543 	ENST00000482813 	1938 	767 	1938 	783 	51 	32 
ENST00000483956 	ENST00000585057 ENST00000472125 ENST00000464873 	447 	861 665 1881 	447 	861 665 1881 	53 	52 52 52 
ENST00000573057 	ENST00000423172 	26 	809 	26 	809 	53 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	196 196 	397 	196 196 	397 	53 53 	53 
ENST00000315872 	ENST00000394253 ENST00000526399 	6115 	5636 1896 	6115 	5651 1911 	53 	31 31 
ENST00000446505 ENST00000429494 ENST00000344420 ENST00000414029 ENST00000460798 ENST00000432479 ENST00000555691 ENST00000414473 	ENST00000326597 	1834 1724 1793 1584 1824 1836 60 1834 	120 	1834 1724 1793 1584 1824 1836 60 1834 	120 	52 52 52 52 52 52 52 52 	42 
ENST00000536368 ENST00000432629 ENST00000393148 ENST00000314394 ENST00000432393 	ENST00000492999 ENST00000486695 ENST00000467671 	178 220 246 122 221 	280 280 280 	178 220 246 122 221 	280 280 280 	52 52 52 52 52 	52 52 52 
ENST00000261574 ENST00000357602 ENST00000490680 ENST00000469360 ENST00000491555 ENST00000539640 	ENST00000606961 	1461 1601 1292 1232 940 874 	2835 	1461 1601 1292 1232 940 874 	2835 	53 53 53 53 53 53 	50 
ENST00000422748 ENST00000454108 ENST00000475772 ENST00000430085 ENST00000482470 ENST00000361675 ENST00000361901 ENST00000361388 	ENST00000420788 	319 114 105 102 89 89 61 326 	105 	319 114 105 102 89 89 61 326 	108 	52 52 52 52 52 52 52 52 	33 
ENST00000361866 	ENST00000419932 	1612 	250 	1620 	250 	45 	42 
ENST00000415930 	ENST00000374796 	3121 	-2 	3121 	14 	53 	34 
ENST00000435618 ENST00000481283 ENST00000489762 ENST00000430299 ENST00000421349 ENST00000498484 ENST00000463832 ENST00000445610 ENST00000450871 ENST00000471639 ENST00000469883 ENST00000437866 	ENST00000603274 	332 247 266 360 316 247 266 278 332 247 266 404 	222 	332 247 266 360 316 247 266 278 332 247 266 404 	222 	53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000396599 ENST00000461458 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000472300 ENST00000484462 ENST00000403916 ENST00000440049 ENST00000469899 	ENST00000515262 	133 323 158 115 55 43 43 43 66 43 66 43 43 66 43 43 	154 	133 323 158 115 55 43 43 43 66 43 66 43 43 66 43 43 	154 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000411537 ENST00000390013 	ENST00000412776 	181 238 	396 	181 238 	396 	53 53 	53 
ENST00000484430 ENST00000398981 ENST00000411660 	ENST00000604922 	604 612 604 	274 	604 612 604 	274 	53 53 53 	53 
ENST00000529770 ENST00000524422 ENST00000529460 ENST00000534385 ENST00000527186 ENST00000595020 ENST00000596478 ENST00000601722 ENST00000599442 ENST00000600126 	ENST00000534438 ENST00000601832 	294 166 176 146 890 294 166 176 146 890 	227 227 	294 166 176 146 890 294 166 176 146 890 	227 227 	51 51 51 51 51 51 51 51 51 51 	53 53 
ENST00000398295 	ENST00000461526 	458 	432 	458 	432 	45 	53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000485945 ENST00000480465 ENST00000395291 	ENST00000515262 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	154 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	154 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	53 
ENST00000498161 ENST00000425761 ENST00000406984 ENST00000434913 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	321 339 172 344 376 344 321 	4161 	321 339 172 344 376 344 321 	4161 	52 52 52 52 52 52 52 	52 
ENST00000506533 ENST00000435742 ENST00000503935 	ENST00000514018 	78 329 599 	160 	78 329 599 	160 	53 53 53 	53 
ENST00000425466 ENST00000487100 ENST00000382175 ENST00000472161 ENST00000474167 	ENST00000604922 	542 544 418 539 540 	238 	542 544 418 539 540 	238 	53 53 53 53 53 	49 
ENST00000507623 ENST00000380638 	ENST00000463943 	197 197 	395 	197 197 	395 	53 53 	51 
ENST00000574872 	ENST00000519266 ENST00000520221 	664 	174 14 	664 	174 14 	53 	52 52 
ENST00000378643 ENST00000448890 ENST00000461149 	ENST00000402802 	854 585 97 	1584 	854 585 97 	1589 	53 53 53 	32 
